t	GranuleCell[0]	GranuleCell[10]	GranuleCell[20]	GranuleCell[30]	GranuleCell[40]	GranuleCell[50]	GranuleCell[60]	GranuleCell[70]	GranuleCell[80]	GranuleCell[90]	GranuleCell[100]	GranuleCell[110]	GranuleCell[120]	GranuleCell[130]	GranuleCell[140]	GranuleCell[150]	GranuleCell[160]	GranuleCell[170]	GranuleCell[180]	GranuleCell[190]	GranuleCell[200]	GranuleCell[210]	GranuleCell[220]	GranuleCell[230]	GranuleCell[240]	GranuleCell[250]	GranuleCell[260]	GranuleCell[270]	GranuleCell[280]	GranuleCell[290]	GranuleCell[300]	GranuleCell[310]	GranuleCell[320]	GranuleCell[330]	GranuleCell[340]	GranuleCell[350]	GranuleCell[360]	GranuleCell[370]	GranuleCell[380]	GranuleCell[390]	GranuleCell[400]	GranuleCell[410]	GranuleCell[420]	GranuleCell[430]	GranuleCell[440]	GranuleCell[450]	GranuleCell[460]	GranuleCell[470]	GranuleCell[480]	GranuleCell[490]	GranuleCell[498]	GranuleCell[499]	BasketCell[0]	BasketCell[1]	BasketCell[2]	BasketCell[3]	BasketCell[4]	BasketCell[5]	MossyCell[0]	MossyCell[1]	MossyCell[2]	MossyCell[3]	MossyCell[4]	MossyCell[5]	MossyCell[6]	MossyCell[7]	MossyCell[8]	MossyCell[9]	MossyCell[10]	MossyCell[11]	MossyCell[12]	MossyCell[13]	MossyCell[14]	HIPPCell[0]	HIPPCell[1]	HIPPCell[2]	HIPPCell[3]	HIPPCell[4]	HIPPCell[5]	
1.100000	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-70.439572	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669333	-70.669333	-70.669333	-70.669333	-70.669333	-70.669333	
1.200000	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669330	-70.669330	-70.669330	-70.669330	-70.669330	-70.669330	
1.300000	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669327	-70.669327	-70.669327	-70.669327	-70.669327	-70.669327	
1.400000	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-70.439573	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669324	-70.669324	-70.669324	-70.669324	-70.669324	-70.669324	
1.500000	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669321	-70.669321	-70.669321	-70.669321	-70.669321	-70.669321	
1.600000	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-70.439574	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669318	-70.669318	-70.669318	-70.669318	-70.669318	-70.669318	
1.700000	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669315	-70.669315	-70.669315	-70.669315	-70.669315	-70.669315	
1.800000	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-70.439575	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669312	-70.669312	-70.669312	-70.669312	-70.669312	-70.669312	
1.900000	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669309	-70.669309	-70.669309	-70.669309	-70.669309	-70.669309	
2.000000	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669306	-70.669306	-70.669306	-70.669306	-70.669306	-70.669306	
2.100000	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-70.439576	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669303	-70.669303	-70.669303	-70.669303	-70.669303	-70.669303	
2.200000	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669300	-70.669300	-70.669300	-70.669300	-70.669300	-70.669300	
2.300000	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-70.439577	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669297	-70.669297	-70.669297	-70.669297	-70.669297	-70.669297	
2.400000	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669294	-70.669294	-70.669294	-70.669294	-70.669294	-70.669294	
2.500000	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-70.439578	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.000583	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-60.114144	-70.669292	-70.669292	-70.669292	-70.669292	-70.669292	-70.669292	
